"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"LiDAR-Based Elderly Fall Detection System for Indoor Environments Using Neural Network Algorithms","P. G. Vignesh; N. K. S; S. K. T; J. G","Dept. of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, India; Dept. of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, India; Dept. of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, India; Dept. of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, India",2025 4th International Conference on Sentiment Analysis and Deep Learning (ICSADL),"27 Mar 2025","2025","","","1564","1568","Fall detection systems are critical in elderly care and healthcare monitoring, but traditional camera-based solutions raise significant privacy concerns. This research presents a novel approach utilizing LiDAR (Light Detection and Ranging) sensors for fall detection in indoor environments, addressing privacy issues while maintaining high accuracy. We introduce LiFall, a new dataset captured using a Velodyne VLP 16 Puck LiDAR sensor, comprising 12 scenes and over 500 frames simulating various fall scenarios (including back falls, bed falls, and walking falls), contributing to the scarcity of LiDAR-based fall detection datasets. Our methodology employs two advanced deep learning architectures: Annularly Convolutional Neural Networks (ACNN) and Dynamic Graph Convolutional Neural Networks (DGCNN). Evaluating these models on both the ModelNet40 dataset and our custom LiFall dataset, results show DGCNN outperforms ACNN, achieving an accuracy of 84% on the ModelNet40 dataset with a 70:30 train-test split. On the LiFall dataset, despite challenges with dataset imbalance and achieving lower detection accuracy even after data augmentation, our approach demonstrates the potential of LiDAR-based fall detection systems. Compared to other fall detection methods, our LiDAR-based system offers significant advantages beyond privacy preservation, such as robust performance in low-light conditions and the ability to capture detailed 3D spatial information. While our current implementation is limited to laboratory settings, future work will focus on real-world deployments and further addressing dataset imbalance issues to enhance overall system performance. This research contributes to the field by providing a privacy-preserving, high-performance alternative to camera-based fall detection systems, paving the way for more acceptable monitoring solutions in sensitive indoor environments.","","979-8-3315-2392-3","10.1109/ICSADL65848.2025.10933218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933218","Fall detection;Velodyne sensor;ACNN;DGCNN","Privacy;Accuracy;Laser radar;Three-dimensional displays;Sensors;Indoor environment;Convolutional neural networks;Fall detection;Older adults;Monitoring","","2","","16","IEEE","27 Mar 2025","18-20 Feb. 2025","18-20 Feb. 2025","IEEE","IEEE Conferences"
"Fall detection scheme based on temperature distribution with IR array sensor","Y. Ogawa; K. Naito","Graduate School of Business Administration and Computer Science, Aichi Institute of Technology, Nagoya, Aichi, Japan; Department of Information Science, Aichi Institute of Technology, Toyota, Aichi, Japan",2020 IEEE International Conference on Consumer Electronics (ICCE),"23 Mar 2020","2020","","","1","5","In recent years, the rate of older people has been increasing with the aging of population. In such a situation, many older people are injured by falls every year. As a countermeasure, several studies have been proposed to inform others of a fall as a quick post-fall treatment. Therefore, fall detection methods using various sensors have been proposed. Assuming fall detection at places such as home or hospital room, a fall detection method without invasion of privacy and wearing anything is required. In this paper, we propose a fall detection method using IR array sensors. The method allows for fall detection that is inexpensive and capable of privacy protection in a non-wearable form. Also, we analyze temperature distributions using machine learning to enable quicker and more accurate fall detection. We evaluate multiple algorithms of machine learning to select best algorithm. Then, classifiers are created based on these algorithms. We calculate and compare the accuracy of these classifiers. One of the learning data is a series of temperature distribution data for 2 seconds. One temperature distribution is acquired every 0.1 seconds by IR array sensors installed on a ceiling. We prepare 1600 learning data (400 series of learning data each with 4 actions: fall, walking, lying, and none). Based on these data, classifiers are performed using multiple algorithms to determine accuracy. The most accurate algorithm is Voting classifier with 97.75% accuracy. Therefore, the evaluation result showed that the proposed method is possible to classify with high accuracy using IR array sensors based on these prepared learning data.","2158-4001","978-1-7281-5186-1","10.1109/ICCE46568.2020.9043000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043000","fall;fall detection;IR array sensor;temperature distribution;machine learning","","","32","","13","IEEE","23 Mar 2020","4-6 Jan. 2020","4-6 Jan. 2020","IEEE","IEEE Conferences"
"Sensing and Communication Integration Based Fall Detection with Commercial WiFi","Y. Chen; Z. Sun; Z. Wang; Z. Yu; B. Guo","Department of Computer Science, University of Northwestern University, Xi'an, China; Department of Computer Science, University of Northwestern Polytechnical University, Xi'an, China; Department of Computer Science, University of Northwestern Polytechnical University, Xi'an, China; Department of Computer Science, University of Northwestern Polytechnical University, Xi'an, China; Department of Computer Science, University of Northwestern Polytechnical University, Xi'an, China",2024 International Conference on Artificial Intelligence of Things and Systems (AIoTSys),"13 Dec 2024","2024","","","1","8","With the increase of China's elderly population year by year and the increasing number of elderly people living alone, the problem of elderly people death caused by falls becomes more severe. Conventional vision based approaches suffer from some privacy issues to the elderly or guardians. And a wearable sensor-based fall detection methods would leave the elderly constrained and stressed. Therefore, the fall detection technology based on WiFi wireless network has been proposed. This is owing to its significant advantages that it will not cause privacy disclosure problems, nor will it give the elderly any substantial physical bondage and pressure. In this paper, we construct a Channel State Information (CSI) acquisition platform based on regular communication packets with commercial WiFi to perform the sensing via the integration of sensing and communication. In particular, the WiFi works in the commuication mode and sends the comunication packet. The CSI is obtained from the communication package and is exploited for sensing. Then by pre-processing the collected CSI, the feature classification information related to falls is extracted for model identification. Based on the features, the neural network based fall detection algorithm is performed to realize the fall detection. The fall detection system equipped with the front-end interface based on Vue3 and the back-end service based on Python is implemented. The experiment results demonstrate that the system can achieve real-time and accurate fall detection, even when WiFi works in the communication mode.","","979-8-3315-0788-6","10.1109/AIoTSys63104.2024.10780526","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780526","WiFi;CSI;ISAC;Nexmon;Fall detection system","Privacy;Neural networks;Data collection;Feature extraction;Sensors;Fall detection;Older adults;Wireless fidelity;Channel state information;Principal component analysis","","","","22","IEEE","13 Dec 2024","17-19 Oct. 2024","17-19 Oct. 2024","IEEE","IEEE Conferences"
"Automated fall detection on privacy-enhanced video","A. Edgcomb; F. Vahid","Department of Computer Science and Engineering, University of California, Riverside, CA, USA; Department of Computer Science and Engineering, University of California, Riverside, CA, USA",2012 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"10 Nov 2012","2012","","","252","255","A privacy-enhanced video obscures the appearance of a person in the video. We consider four privacy enhancements: blurring of the person, silhouetting of the person, covering the person with a graphical box, and covering the person with a graphical oval. We demonstrate that an automated video-based fall detection algorithm can be as accurate on privacy-enhanced video as on raw video. The algorithm operated on video from a stationary in-home camera, using a foreground-background segmentation algorithm to extract a minimum bounding rectangle (MBR) around the motion in the video, and using time series shapelet analysis on the height and width of the rectangle to detect falls. We report accuracy applying fall detection on 23 scenarios depicted as raw video and privacy-enhanced videos involving a sole actor portraying normal activities and various falls. We found that fall detection on privacy-enhanced video, except for the common approach of blurring of the person, was competitive with raw video, and in particular that the graphical oval privacy enhancement yielded the same accuracy as raw video, namely 0.91 sensitivity and 0.92 specificity.","1558-4615","978-1-4577-1787-1","10.1109/EMBC.2012.6345917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345917","Fall detection;video privacy;assistive monitoring;smart homes;telehealth","Time series analysis;Streaming media;Privacy;Accuracy;Shape;Sensitivity;Detection algorithms","Accidental Falls;Aged;Aged, 80 and over;Algorithms;Female;Humans;Image Processing, Computer-Assisted;Image Processing, Computer-Assisted;Male;Monitoring, Physiologic;Monitoring, Physiologic;Sensitivity and Specificity;Video Recording","18","","16","IEEE","10 Nov 2012","28 Aug.-1 Sept. 2012","28 Aug.-1 Sept. 2012","IEEE","IEEE Conferences"
"High Coverage and Privacy-Preserving IoT-Based Fall Detection System With Two-Thermal-Sensor Configuration","Y. Wing Lo; C. Yin Lai; M. Ho Tsoi; S. W. Y. Mung","Research and Development Office, The Education University of Hong Kong, Ting Kok, Hong Kong; Research and Development Office, The Education University of Hong Kong, Ting Kok, Hong Kong; Research and Development Office, The Education University of Hong Kong, Ting Kok, Hong Kong; Research and Development Office, The Education University of Hong Kong, Ting Kok, Hong Kong","IEEE Transactions on Systems, Man, and Cybernetics: Systems","4 Feb 2026","2026","56","2","812","824","This study proposes a simple Internet of Things (IoT)-based fall detection system with high coverage and privacy preservation to detect people’s status in private areas, such as washrooms. Human detection is crucial to prevent treatment delays because falls can lead to serious injuries or death. The proposed system utilizes a two-thermal-sensor configuration with top and side sensors to detect humans and perform fall detection. The number of top and side sensors used depends on the size of the detected area. The system incorporates the narrowband (NB)-IoT technology to facilitate communication between servers and sensors as a bridge in this system. The fall detection circuit includes an NB-IoT module, a microcontroller unit (MCU), and a two-thermal-sensor configuration. This low-cost MCU connects to the sensors and performs computations to determine if a private area is occupied or not. Apart from high coverage and privacy preservation, a two-thermal-sensor configuration enhances the accuracy of the fall detection system. A convolutional neural network (CNN) can be added as an additional fall detection metric. This fully integrated system was already implemented in different commercial places, and four commercial places are demonstrated in this article. Experiments were performed via five cases to verify the performance of the proposed fall detection system. This system, compared with other technologies, has simple installation, low cost, high coverage, and privacy-preserving features.","2168-2232","","10.1109/TSMC.2025.3614012","Research Matching Grant Scheme (RMGS) through the Research Grants Council of Hong Kong; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11251189","Convolutional neural network (CNN);fall detection;health care;hypertext transfer protocol (HTTP);Internet of Things (IoT);narrowband IoT (NB-IoT);thermal","Fall detection;Sensors;Servers;Internet of Things;HTTP;Convolutional neural networks;Cameras;Temperature sensors;Accuracy;Temperature measurement","","1","","37","IEEE","18 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"QoE-Aware Edge-Assisted Machine Learning-Based Fall Detection and Prediction with FBGs","M. Rocha; H. R. Chi; N. Alberto; P. André; P. Antunes; A. Radwan; M. F. Domingues","Instituto de Telecomunicações and University of Aveiro, Aveiro, Portugal; Instituto de Telecomunicações and University of Aveiro, Aveiro, Portugal; Instituto de Telecomunicações and University of Aveiro, Aveiro, Portugal; Department of Electrical and Computer Engineering, Instituto de Telecomunicações, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; Instituto de Telecomunicações and University of Aveiro, Aveiro, Portugal; Instituto de Telecomunicações and University of Aveiro, Aveiro, Portugal; Instituto de Telecomunicações and University of Aveiro, Aveiro, Portugal",ICC 2023 - IEEE International Conference on Communications,"23 Oct 2023","2023","","","852","857","Considering that fall accidents are one of the leading causes of non-natural death of elders, it is crucial to design and to implement home’ fall detection systems. Current home monitoring systems are targeting this challenge, pursuing non-invasive, low latency, and simplified fall detection algorithms. Therefore, in this paper, edge-enabled non-wearable and non-invasive fall detection system is proposed. Concretely, outperforming the conventional invasive/privacy-sensitive fall detection technologies, the proposed system comprises four photonic-based accelerometers solely relying on the fiber Bragg grating (FBG) technology, which monitor the vibrations induced by the body impact in the platform by the Bragg wavelength shifts. A newly-developed support vector machine-based multi-class fall detection algorithm is proposed, based on the data collected by the accelerometers. Moreover, feasibility analysis of the proposed fall detection algorithm also reveals the possibility of fall prediction, given the slipping as the pre-falling phenomenon. Experimental results showcase that the proposed fall detection algorithm achieves overall accuracy up to 96.5%, with average processing time achieved as 21.3 ms, indicating the sufficiency to provide high quality of experience (QoE) fall detection services. Besides, fall prediction based on the pre-falling case study of slipping is discussed, revealing that fall can be predicted~197.5 ms beforehand, which is sufficient for further fall prevention (e.g., airbag).","1938-1883","978-1-5386-7462-8","10.1109/ICC45041.2023.10278661","European Regional Development Fund(grant numbers:072082,CENTRO-01-0247-FEDER-072082); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10278661","elders monitoring;fall detection;optical fiber sensors;machine learning","Accelerometers;Vibrations;Training;Image edge detection;Prediction algorithms;Fiber gratings;Quality of experience","","1","","24","IEEE","23 Oct 2023","28 May-1 June 2023","28 May-1 June 2023","IEEE","IEEE Conferences"
"RTFDNet: ResNet-Transformer-Based Fall Detection Network Using MmWave Radar","P. Sang; H. Qin; S. Ding; X. Wang; X. Cao; Y. Zhuang","Electronic Information School, Wuhan University, Wuhan, China; School of Earth and Space Science and Technology, Wuhan University, Wuhan, China; Electronic Information School, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China",2025 10th International Conference on Computer and Communication System (ICCCS),"14 Jul 2025","2025","","","1202","1208","Fall detection plays a crucial role in safeguarding the health and safety of the elderly, representing a vital area within public health and a key application in smart health and intelligent elderly care, which holds significant research value. Traditional fall detection methods relying on cameras, inertial sensors, and other technologies encounter challenges such as privacy concerns and relatively low detection accuracy. In contrast, millimeter wave radar shows great promise in fall detection due to its high penetrability, robust anti-interference capabilities, high resolution, and non - contact monitoring features. However, current research in millimeter - wave radar - based fall detection has several limitations. Most existing methods mainly utilize deep convolutional neural networks to process two - dimensional images, failing to fully exploit the abundant information within 3D point cloud data. Moreover, the fall detection system often struggles to handle dynamically changing interference sources effectively, which severely reduces the accuracy of subsequent models in recognizing fall - related action features. Additionally, the process of data labeling and its associated costs impose substantial constraints on model training and optimization. To address these issues, this study proposes a novel fall detection network, RTFDNet, which combines a deep residual network with the Transformer architecture for the first time. This integration enables the network to comprehensively capture the spatial and temporal characteristics of 3D point cloud data, ensuring a more complete and accurate extraction of essential data information. In terms of data processing, the development of dynamic denoising and physical enhancement strategies significantly improves data quality and the model's generalization ability in complex environments. Furthermore, a semi-supervised learning framework is adopted, requiring only 30 % of the data to be labeled. The framework generates pseudo-labels with the help of model prediction to complete the training. Experimental results demonstrate the effectiveness of the proposed framework. In a four-class classification task, the model achieves a fall detection accuracy of 99.08%, thus providing a new concept for millimeter wave radar fall detection.","2995-3251","979-8-3315-2314-5","10.1109/ICCCS65393.2025.11069909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11069909","Millimeter-wave radar;Fall detection;3D point cloud;Deep residual network","Training;Point cloud compression;Accuracy;Three-dimensional displays;Radar detection;Millimeter wave radar;Transformers;Data models;Fall detection;Millimeter wave communication","","1","","11","IEEE","14 Jul 2025","18-21 April 2025","18-21 April 2025","IEEE","IEEE Conferences"
"A Privacy-Preserving AIoT Framework for Fall Detection and Classification Using Hierarchical Learning With Multilevel Feature Fusion","S. Mobsite; N. Alaoui; M. Boulmalf; M. Ghogho","TICLaboratory, International University of Rabat, Rabat, Morocco; TICLaboratory, International University of Rabat, Rabat, Morocco; TICLaboratory, International University of Rabat, Rabat, Morocco; TICLaboratory, International University of Rabat, Rabat, Morocco",IEEE Internet of Things Journal,"23 Jul 2024","2024","11","15","26531","26547","Privacy and false fall detection pose a significant challenge within the current camera-based human activity monitoring research. In response, we propose a solution that leverages the inherent relationship between binary fall detection and activity classification through hierarchical learning for low-false fall classification. Our solution involves employing edge computing for data preprocessing, with a specific focus on extracting key points of the human body and motion features. Subsequently, the classification process based on multistream hierarchical learning takes place at the cloud level. This approach prevents sending raw RGB videos to the cloud to improve data privacy. Moreover, our network incorporates the hierarchical relationship between binary and multiclass classification using stream-to-stream skip connections and multilevel feature fusion. We created our multiscale convolutional fusion block (MSCFB) for multilevel feature extraction and fusion with an inner block skip connection. Additionally, we added an auxiliary fall detection loss to the first stream to regulate and control the feature extraction process for fall detection. Our network attained state-of-the-art performance in activity classification on the UP-Fall data set, securing an F1-score of 97.27%. Notably, there were no misclassifications between regular activities and fall subclasses, leading to a perfect F1-score of 100% for binary fall detection on this data set. Furthermore, our fall detection network achieved state-of-the-art on the PRECIS HAR data set with an F1-score of 98.34%.","2327-4662","","10.1109/JIOT.2024.3398782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10527395","Activity classification;AIoT;camera;fall detection;hierarchical learning;smart home","Fall detection;Feature extraction;Internet of Things;Statistics;Social factors;Cameras;Videos","","8","","74","IEEE","9 May 2024","1 Aug.1, 2024","","IEEE","IEEE Journals"
"Motion Sensor-Based Fall Detection Using 1D-FCN","Y. A. Mahfouz; S. A. Fawzi","Center for Informatics Science (CIS), School of Information Technology and Computer Science (ITCS), Nile University, Giza, Egypt; Center for Informatics Science (CIS), School of Information Technology and Computer Science (ITCS), Nile University, Giza, Egypt",2024 6th Novel Intelligent and Leading Emerging Sciences Conference (NILES),"22 Nov 2024","2024","","","483","488","Falls are a leading cause of unintentional injuries, particularly among the elderly, often leading to severe health complications. Effective fall detection systems are essential to mitigate these risks. Fall detection systems that rely on vision and multimodal approaches face limitations such as lighting conditions, privacy concerns, and high computational demands. This paper introduces a sensor-based fall detection model using inertial measurement units (IMUs) data, specifically gyroscopes and acceleromenters from wearable devices, thereby offering benefits in versatility, privacy, and real-time deployment. This research proposes a novel fall detection approach utilizing a fully convolutional network (FCN) architecture optimized for time series data. The FCN model effectively learns features from raw sensor data, providing high accuracy and computational efficiency. The proposed method was evaluated on the UP-Fall dataset, including a comparison with a baseline LSTM model. Results demonstrate that the proposed FCN model surpasses existing methods, achieving 99.52% accuracy, 98.7% sensitivity, 99.65% specificity, 98.14% precision, and 98.38% F1-score, with significantly lower inference time and memory consumption. These findings underscore the potential of the proposed approach for practical, real-time fall detection applications, ensuring prompt intervention and reducing the adverse effects of falls for the elderly.","","979-8-3503-7851-1","10.1109/NILES63360.2024.10753201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753201","Fall Detection;Fully Convolutional Network (FCN);Accelerometers;Gyroscopes;Time Series Classification","Performance evaluation;Accuracy;Sensitivity;Computational modeling;Real-time systems;Computational efficiency;Convolutional neural networks;Fall detection;Wearable devices;Older adults","","3","","31","IEEE","22 Nov 2024","19-21 Oct. 2024","19-21 Oct. 2024","IEEE","IEEE Conferences"
"SDN-YOLO: Research on the Fall Detection Algorithm for Privacy Scenarios Based on Optimized YOLO11","K. Li; S. Song; J. Zhang; Y. Wang; S. Zheng; Z. Yang; Y. Gao; X. Ding","School of Computer and Information Engineering, Shanghai Polytechnic University, Shanghai, China; School of Computer and Information Engineering, Shanghai Polytechnic University, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China; Data Intelligence Product Department, Wonders Information Co., Ltd, Shanghai, China","2025 IEEE 5th International Conference on Electronic Technology, Communication and Information (ICETCI)","24 Jul 2025","2025","","","103","107","With the increasing degree of population aging, the rapid rise in the elderly population will lead to a serious issue of fall detection for elderly individuals living alone. Fall detection using images from conventional cameras exposes the privacy of elderly individuals and suffers from performance degradation due to insufficient lighting. Therefore, it was decided to use depth images for fall detection. The current methods for fall detection still face issues such as inconvenience, low accuracy, and high missed detection rates. This paper presents SDN-YOLO, a fall detection algorithm designed for privacy-preserving scenarios, which is based on an enhanced version of YOLO11, aimed at improving the detection rate. First, the C3k2 module is redesigned in the backbone network. By integrating the SConv branch for edge information extraction and the convolution branch for spatial information, this module enables the model to learn more comprehensive image feature representations. Secondly, to address the potential loss of detailed information due to the pooling operation in SPPF, convolution with different dilation rates is used to capture information in the image. Additionally, parameter sharing in the convolution helps reduce redundancy, thereby improving model efficiency. Finally, the BiFPN concept is introduced in the neck part, enabling the model to effectively fuse feature information from different layers, thereby improving the model's performance. Experimental results demonstrate that SDN-YOLO enhances the mAP@0.5 by 8.5%, Recall by 5.9%, and Precision by 2.7% over the baseline YOLO11 model on the dataset.","","979-8-3315-3372-4","10.1109/ICETCI64844.2025.11084159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11084159","fall detection;YOLO11;C3k2;SPPF;BiFPN","Privacy;Convolution;Image edge detection;Redundancy;Lighting;Neck;Fall detection;Older adults;Kernel;Optimization","","","","17","IEEE","24 Jul 2025","23-25 May 2025","23-25 May 2025","IEEE","IEEE Conferences"
"An Ultrasonic-based Metrological Approach for Fall Detection and User recognition using Supervised and Unsupervised Machine Learning Techniques","I. Ciuffreda; S. Casaccia; G. M. Revel","Department of Industrial Engineering and Mathematical Sciences, Università Politecnica delle Marche, Ancona, Italy; Department of Industrial Engineering and Mathematical Sciences, Università Politecnica delle Marche, Ancona, Italy; Department of Industrial Engineering and Mathematical Sciences, Università Politecnica delle Marche, Ancona, Italy",2025 IEEE International Workshop on Metrology for Industry 4.0 & IoT (MetroInd4.0 & IoT),"19 Aug 2025","2025","","","372","376","The rapid aging of the world’s population has increased the demand for innovative fall detection systems to ensure the safety and well-being of older people. Falls represent a major health risk, often leading to hospitalization, loss of independence, and increased caregiver burden. Traditional fall detection solutions, such as wearable sensors and camera-based systems, face challenges related to user compliance, privacy, and limited coverage areas. This study presents a novel ultrasonic (US)-based approach that combines fall detection and user identification using machine learning (ML) techniques. Unlike traditional wearable sensors, US technology offers a noninvasive and privacy-preserving alternative for monitoring falls in home and nursing home environments. The proposed system utilizes an US mounted on the ceiling for a dual purpose: fall detection and user identification. For fall detection, two ML algorithms, Random Forest and Support Vector Machine (SVM), were tested. The dataset was split using an 80/20% ratio, allocating 80% of the data for training and 20% for testing. Results indicate that Random Forest achieved high accuracy (up to 89%), demonstrating high reliability in detecting falls with minimal false negatives. Additionally, for user identification, an unsupervised K-means clustering algorithm was employed, achieving a classification accuracy of 70% based on walking patterns and height of individuals. These findings highlight the effectiveness of US-based monitoring in both detecting falls and user classification. Future work will focus on improving classification accuracy, and validating the system in real-world environments.","2837-0872","978-1-6654-5774-3","10.1109/MetroInd4.0IoT66048.2025.11122095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11122095","Fall detection;ultrasonic sensor;user recognition;older people monitoring","Support vector machines;Training;Accuracy;Acoustics;Safety;Fall detection;Monitoring;Wearable sensors;Random forests;Testing","","","","21","IEEE","19 Aug 2025","1-3 July 2025","1-3 July 2025","IEEE","IEEE Conferences"
"mmFall: Fall Detection Using 4-D mmWave Radar and a Hybrid Variational RNN AutoEncoder","F. Jin; A. Sengupta; S. Cao","Department of Electrical and Computer Engineering, The University of Arizona, Tucson, AZ, USA; Department of Electrical and Computer Engineering, The University of Arizona, Tucson, AZ, USA; Department of Electrical and Computer Engineering, The University of Arizona, Tucson, AZ, USA",IEEE Transactions on Automation Science and Engineering,"6 Apr 2022","2022","19","2","1245","1257","Elderly fall prevention and detection becomes extremely crucial with the fast aging population globally. In this article, we propose mmFall, a novel fall detection system, which comprises 1) the emerging millimeter-wave (mmWave) radar sensor to collect the human body’s point cloud along with the body centroid and 2) a hybrid variational recurrent neural network (RNN) autoencoder (HVRAE) to compute the anomaly level of the body motion based on the acquired point cloud. A fall is detected when the spike in anomaly level and the drop in centroid height occur simultaneously. The mmWave radar sensor offers privacy-compliance and high sensitivity to motion, over the traditional sensing modalities. However, 1) randomness in radar point cloud and 2) difficulties in fall collection/labeling in the traditional supervised fall detection approaches are the two major challenges. To overcome the randomness in radar data, the proposed HVRAE uses variational inference, a generative approach rather than a discriminative approach, to infer the posterior probability of the body’s latent motion state every frame, followed by a RNN to summarize the temporal features over multiple frames. Moreover, to circumvent the difficulties in fall data collection/labeling, the HVRAE is built upon an autoencoder architecture in a semisupervised approach, which is only trained on the normal activities of daily living (ADL). In the inference stage, the HVRAE will generate a spike in the anomaly level once an abnormal motion, such as fall, occurs. During the experiment,1 we implemented the HVRAE along with two other baselines, and tested on the data set collected in an apartment. The receiver operating characteristic (ROC) curve indicates that our proposed model outperforms baselines and achieves 98% detection out of 50 falls at the expense of just 2 false alarms. Note to Practitioners—Traditional nonwearable fall detection approaches typically make use of a vision-based sensor, such as camera, to monitor and detect fall using a classifier that is trained in a supervised fashion on the collected fall and nonfall data. However, several problems render these methods impractical. First, camera-based monitoring may trigger privacy concerns. Second, fall data collection using human subjects is difficult and costly, not to mention the impossible ask of the elderly repeating simulated falls for data collection. In this article, we propose a new fall detection approach to overcome these problems 1) using a palm-size mmWave radar sensor to monitor the elderly, that is highly sensitive to motion while protecting privacy and 2) using a semisupervised anomaly detection approach to circumvent the fall data collection. Further hardware engineering and more training data from people with different body figures could make the proposed fall detection solution even more practical.","1558-3783","","10.1109/TASE.2020.3042158","The University of Arizona.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305931","Anomaly detection;fall detection;millimeter wave (mmWave) radar;recurrent autoencoder (RAE);semisupervised learning;variational autoencoder","Radar;Three-dimensional displays;Radar detection;Senior citizens;Doppler radar;Radar antennas;Radar measurements","","105","","63","IEEE","23 Dec 2020","April 2022","","IEEE","IEEE Journals"
"Toward Privacy-Supporting Fall Detection via Deep Unsupervised RGB2Depth Adaptation","H. Xiao; K. Peng; X. Huang; A. Roitberg; H. Li; Z. Wang; R. Stiefelhagen","Xiong’an Institute of Innovation, Chinese Academy of Sciences, Xiong’an, China; Institute for Anthropomatics and Robotics, Karlsruhe Institute of Technology, Karlsruhe, Germany; Xiong’an Institute of Innovation, Chinese Academy of Sciences, Xiong’an, China; Institute for Anthropomatics and Robotics, Karlsruhe Institute of Technology, Karlsruhe, Germany; Xiong’an Institute of Innovation, Chinese Academy of Sciences, Xiong’an, China; Xiong’an Institute of Innovation, Chinese Academy of Sciences, Xiong’an, China; Institute for Anthropomatics and Robotics, Karlsruhe Institute of Technology, Karlsruhe, Germany",IEEE Sensors Journal,"30 Nov 2023","2023","23","23","29143","29155","Fall detection is a vital task in health monitoring, as it allows the system to trigger an alert and therefore enable faster interventions when a person experiences a fall. Although most previous approaches rely on standard RGB video data, such detailed appearance-aware monitoring poses significant privacy concerns. Depth sensors, on the other hand, are better at preserving privacy as they merely capture the distance of objects from the sensor or camera, omitting color and texture information. In this article, we introduce a privacy-supporting solution that makes the RGB-trained model applicable in the depth domain and utilizes depth data at test time for fall detection. To achieve cross-modal fall detection, we present an unsupervised RGB domain to the depth domain (RGB2Depth) cross-modal domain adaptation approach that leverages labeled RGB data and unlabeled depth data during training. Our proposed pipeline incorporates an intermediate domain module (IDM) for feature bridging, modality adversarial loss for modality discrimination, classification loss for pseudo-labeled depth data and labeled source data, triplet loss that considers both the source and target domains, and a novel adaptive loss weight adjustment method for improved coordination among various losses. Our approach achieves state-of-the-art results in the unsupervised RGB2Depth domain adaptation task for fall detection. Code is available at https://github.com/1015206533/privacy_supporting_fall_detection.","1558-1748","","10.1109/JSEN.2023.3322479","National Key Research and Development Program of China(grant numbers:2020YFC2006406); Carl Zeiss Stiftung through the SmartAge Project(grant numbers:P2019-01-003 (2021–2026)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10299609","Fall detection;intermediate domain module (IDM);loss weight adaptive;unsupervised modality adaptation (UMA)","Fall detection;Training;Sensors;Adaptation models;Data models;Task analysis;X3D","","5","","70","IEEE","27 Oct 2023","1 Dec.1, 2023","","IEEE","IEEE Journals"
